z,Dehalococcoides_BAV1_uid58477,Dehalococcoides_ethenogenes_195_uid57763
s1,NC_009455.1: 245..1579,NC_002936.3: 261..1598
s2,NC_009455.1: 1910..3184,NC_002936.3: 1924..3198
s3,NC_009455.1: 3172..3786,NC_002936.3: 3186..3800
s4,NC_009455.1: complement(3868..5796),NC_002936.3: complement(3881..5809)
s5,NC_009455.1: complement(6001..8187),NC_002936.3: complement(6013..8199)
s6,NC_009455.1: 8315..9571,NC_002936.3: 8328..9584
s7,NC_009455.1: 9568..10731,NC_002936.3: 9581..10744
s8,NC_009455.1: complement(10728..11330),NC_002936.3: complement(10741..11367)
s9,NC_009455.1: complement(11384..12304),NC_002936.3: complement(11400..12320)
s10,NC_009455.1: complement(12458..13630),NC_002936.3: 12308..12463
s11,NC_009455.1: complement(13630..13818),NC_002936.3: complement(12471..13643)
s12,NC_009455.1: complement(13889..14701),NC_002936.3: complement(13643..13831)
s13,NC_009455.1: 14849..15544,NC_002936.3: complement(13903..14715)
s14,NC_009455.1: 15583..16377,NC_002936.3: 14863..15558
s15,NC_009455.1: 16423..17739,NC_002936.3: 15597..16391
s16,NC_009455.1: complement(17722..17937),NC_002936.3: 16437..17756
s17,NC_009455.1: complement(17951..18214),NC_002936.3: complement(17736..17951)
s18,NC_009455.1: 18517..18978,NC_002936.3: complement(17965..18228)
s19,NC_009455.1: 19030..19458,NC_002936.3: 18528..18989
s20,NC_009455.1: complement(19849..20601),NC_002936.3: 19041..19469
s21,NC_009455.1: 20704..21090,NC_002936.3: complement(19524..20276)
s22,NC_009455.1: complement(21172..21312),NC_002936.3: 20379..20765
s23,NC_009455.1: complement(21369..23759),NC_002936.3: complement(20846..20986)
s24,NC_009455.1: complement(23756..24256),NC_002936.3: complement(21043..23430)
s25,NC_009455.1: complement(24434..25099),NC_002936.3: complement(23427..23927)
s26,NC_009455.1: complement(25104..25508),NC_002936.3: complement(24098..24763)
s27,NC_009455.1: complement(25512..25940),NC_002936.3: complement(24768..25172)
s28,NC_009455.1: complement(26017..27462),NC_002936.3: complement(25176..25604)
s29,NC_009455.1: complement(27466..28830),NC_002936.3: complement(25680..27125)
s30,NC_009455.1: 29308..29937,NC_002936.3: complement(27129..28493)
s31,NC_009455.1: 29930..30931,NC_002936.3: complement(28497..28649)
s32,NC_009455.1: complement(30928..31545),NC_002936.3: complement(28782..29732)
s33,NC_009455.1: complement(31526..31816),NC_002936.3: 29881..30510
s34,NC_009455.1: 32025..32873,NC_002936.3: 30503..31504
s35,NC_009455.1: 32866..34263,NC_002936.3: complement(31501..32121)
